type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc;;;;
article,2912857,Harsh  Thakkar and Kemele M. Endris and Jose M. Gimenez-Garcia and Jeremy  Debattista and Christoph  Lange and S&#246;"ren  Auer,,,,Are Linked Datasets Fit for Open-domain Question Answering? A Quality Assessment,19:1--19:12,19,12,""DBpedia, Data Quality, Linked Open Data, Quality assessment, Question Answering, Wikidata"",10.1145/2912845.2912857,,,,,,,2016,,""Proceedings of the 6th International Conference on Web Intelligence, Mining and Semantics"",WIMS '16,,978-1-4503-4056-4,""N&#238";"mes, France"",ACM,""New York, NY, USA""";;
"article,3025233,Shilad  Sen and Anja Beth  Swoap and Qisheng  Li and Brooke  Boatman and Ilse  Dippenaar and Rebecca  Gold and Monica  Ngo and Sarah  Pujol and Bret  Jackson and Brent  Hecht,,,,Cartograph: Unlocking Spatial Visualization Through Semantic Enhancement,179--190,,12,""maps, neural networks, semantic relatedness, thematic cartography, wikidata, wikipedia"",10.1145/3025171.3025233,,,,,,,2017,,Proceedings of the 22Nd International Conference on Intelligent User Interfaces,IUI '17,,978-1-4503-4348-0,""Limassol, Cyprus"",ACM,""New York, NY, USA""";;;;
"article,3201108,Laura  Hollink and Astrid  van Aggelen and Jacco  van Ossenbruggen,,,,Using the Web of Data to Study Gender Differences in Online Knowledge Sources: The Case of the European Parliament,381--385,,5,""european parliament, gender inequality, web of data, wikidata, wikipedia"",10.1145/3201064.3201108,,,,,,,2018,,Proceedings of the 10th ACM Conference on Web Science,WebSci '18,,978-1-4503-5563-6,""Amsterdam, Netherlands"",ACM,""New York, NY, USA""";;;;
"article,3191552,Elena  Simperl,,,,Loops of Humans and Bots in Wikidata,1107--1107,,1,""humans in the loop, socio-technical fabric, wikidata"",10.1145/3184558.3191552,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
article,3125465,Lucie-Aim&#233;"e  Kaffee and Alessandro  Piscopo and Pavlos  Vougiouklis and Elena  Simperl and Leslie  Carr and Lydia  Pintscher,,,,A Glimpse into Babel: An Analysis of Multilinguality in Wikidata,14:1--14:5,14,5,""Community-driven knowledge base, Linked Data, Multilinguality, Wikidata"",10.1145/3125433.3125465,,,,,,,2017,,Proceedings of the 13th International Symposium on Open Collaboration,OpenSym '17,,978-1-4503-5187-4,""Galway, Ireland"",ACM,""New York, NY, USA""";;;
article,2948651,Andreas  Spitz and Johanna  Gei&#223;" and Michael  Gertz,,,,So Far Away and Yet So Close: Augmenting Toponym Disambiguation and Similarity with Text-based Networks,2:1--2:6,2,6,""Wikidata, Wikipedia, centrality, location network, location similarity, toponym disambiguation, toponym extraction"",10.1145/2948649.2948651,,,,,,,2016,,Proceedings of the Third International ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data,GeoRich '16,,978-1-4503-4309-1,""San Francisco, California"",ACM,""New York, NY, USA""";;;
"article,3148035,Iacopo  Vagliano and Diego  Monti and Ansgar  Scherp and Maurizio  Morisio,,,,Content Recommendation Through Semantic Annotation of User Reviews and Linked Data,32:1--32:4,32,4,""DBpedia, Linked Data, Recommender Systems, Semantic Annotation, Semantic Web, User Reviews, Web of Data, Wikidata"",10.1145/3148011.3148035,,,,,,,2017,,Proceedings of the Knowledge Capture Conference,K-CAP 2017,,978-1-4503-5553-7,""Austin, TX, USA"",ACM,""New York, NY, USA""";;;;
"article,2767804,Stefan  Heindorf and Martin  Potthast and Benno  Stein and Gregor  Engels,,,,Towards Vandalism Detection in Knowledge Bases: Corpus Construction and Analysis,831--834,,4,""corpus, data quality, knowledge bases, vandalism"",10.1145/2766462.2767804,,,,,,,2015,,Proceedings of the 38th International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR '15,,978-1-4503-3621-5,""Santiago, Chile"",ACM,""New York, NY, USA""";;;;
"article,3191637,Melisachew Wudage  Chekol and Heiner  Stuckenschmidt,,,,Towards Probabilistic Bitemporal Knowledge Graphs,1757--1762,,6,""bitemporal, knowledge graph, multitemporal, probabilistic inference"",10.1145/3184558.3191637,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
article,3018739,Luis  Gal&#225;"rraga and Simon  Razniewski and Antoine  Amarilli and Fabian M. Suchanek,,,,Predicting Completeness in Knowledge Bases,375--383,,9,""incompleteness, knowledge bases, quality, recall"",10.1145/3018661.3018739,,,,,,,2017,,Proceedings of the Tenth ACM International Conference on Web Search and Data Mining,WSDM '17,,978-1-4503-4675-7,""Cambridge, United Kingdom"",ACM,""New York, NY, USA""";;;
"article,3204473,Atif  Latif and Timo  Borst and Klaus  Tochtermann,,,,Compiling Scholarly Profile Pages by Integrating External Authority Data,411--412,,2,""authorities, linked data, repository"",10.1145/3197026.3204473,,,,,,,2018,,Proceedings of the 18th ACM/IEEE on Joint Conference on Digital Libraries,JCDL '18,,978-1-4503-5178-2,""Fort Worth, Texas, USA"",ACM,""New York, NY, USA""";;;;
article,3192326,Robert  West and Leila  Zia and Dario  Taraborelli and Jure  Leskovec,,,,Welcome on Behalf of the Wiki Workshop Chairs &#38;" Organization,1777--1778,,2,wiki workshop,10.1145/3184558.3192326,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;
article,2808840,Johanna  Gei&#223;" and Andreas  Spitz and Michael  Gertz,,,,Beyond Friendships and Followers: The Wikipedia Social Network,472--479,,8,,10.1145/2808797.2808840,,,,,,,2015,,Proceedings of the 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining 2015,ASONAM '15,,978-1-4503-3854-7,""Paris, France"",ACM,""New York, NY, USA""";;;
"article,3025940,Andrew  Hall and Sarah  McRoberts and Jacob  Thebault-Spieker and Yilun  Lin and Shilad  Sen and Brent  Hecht and Loren  Terveen,,,,Freedom Versus Standardization: Structured Data Generation in a Peer Production Community,6352--6362,,11,""openstreetmap, peer-production communities, standardization, structured data"",10.1145/3025453.3025940,,,,,,,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,""Denver, Colorado, USA"",ACM,""New York, NY, USA""";;;;
article,3022762,Stefan  Heindorf and Martin  Potthast and Hannah  Bast and Bj&#246;"rn  Buchhold and Elmar  Haussmann,,,,WSDM Cup 2017: Vandalism Detection and Triple Scoring,827--828,,2,""data quality, knowledge base, search, vandalism"",10.1145/3018661.3022762,,,,,,,2017,,Proceedings of the Tenth ACM International Conference on Web Search and Data Mining,WSDM '17,,978-1-4503-4675-7,""Cambridge, United Kingdom"",ACM,""New York, NY, USA""";;;
article,3186016,Larry  Gonz&#225;"lez and Aidan  Hogan,,,,Modelling Dynamics in Semantic Web Knowledge Graphs with Formal Concept Analysis,1175--1184,,10,""FCA, dynamics, knowledge graph, schema, semantic web"",10.1145/3178876.3186016,,,,,,,2018,,Proceedings of the 2018 World Wide Web Conference,WWW '18,,978-1-4503-5639-8,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;
"article,3051120,Gerhard  Weikum,,,,""What Computers Should Know, Shouldn'T Know, and Shouldn'T Believe"",1559--1560,,2,""digital knowledge, information trust, user privacy"",10.1145/3041021.3051120,,,,,,,2017,,Proceedings of the 26th International Conference on World Wide Web Companion,WWW '17 Companion,,978-1-4503-4914-7,""Perth, Australia"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
article,3192303,Lora  Aroyo and Gianluca  Demartini and Anna Lisa  Gentile and Chris  Welty,,,,Augmenting Intelligence with Humans-in-the-Loop (HumL@WWW2018) Chairs' Welcome &#38;" Organization,1099--1100,,2,""artificial intelligence, human computation, human-in-the-loop"",10.1145/3184558.3192303,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;
"article,3053367,Nemanja  Spasojevic and Preeti  Bhargava and Guoning  Hu,,,,DAWT: Densely Annotated Wikipedia Texts Across Multiple Languages,1655--1662,,8,""entity disambiguation, entity linking, freebase, freebase annotations, named entity recognition, wiki, wikification, wikipedia, wikipedia annotations"",10.1145/3041021.3053367,,,,,,,2017,,Proceedings of the 26th International Conference on World Wide Web Companion,WWW '17 Companion,,978-1-4503-4914-7,""Perth, Australia"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
"article,2694437,Hamid  Mousavi and Maurizio  Atzori and Shi  Gao and Carlo  Zaniolo,,,,""Text-Mining, Structured Queries, and Knowledge Management on Web Document Corpora"",48--54,,7,,10.1145/2694428.2694437,SIGMOD Rec.,14-Sep,43,3,,December,2014,0163-5808,,,,,,ACM,""New York, NY, USA""";;;;
"article,3102272,Albert  Weichselbraun and Philipp  Kuntschik,,,,Mitigating Linked Data Quality Issues in Knowledge-intense Information Extraction Methods,17:1--17:12,17,12,""applications, information extraction, linked data quality, mitigation strategies, named entity linking, semantic technologies"",10.1145/3102254.3102272,,,,,,,2017,,""Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics"",WIMS '17,,978-1-4503-5225-3,""Amantea, Italy"",ACM,""New York, NY, USA""";;;;
"article,2675356,Yingjie  Hu and Krzysztof  Janowicz and Sathya  Prasad,,,,Improving Wikipedia-based Place Name Disambiguation in Short Texts Using Structured Data from DBpedia,8:1--8:8,8,8,""DBpedia, Wikipedia, linked data, place name disambiguation"",10.1145/2675354.2675356,,,,,,,2014,,Proceedings of the 8th Workshop on Geographic Information Retrieval,GIR '14,,978-1-4503-3135-7,""Dallas, Texas"",ACM,""New York, NY, USA""";;;;
article,3151119,Dat Ba Nguyen and Abdalghani  Abujabal and Nam Khanh Tran and Martin  Theobald and Gerhard  Weikum,,,,Query-driven On-the-fly Knowledge Base Construction,66--79,,14,,10.14778/3151113.3151119,Proc. VLDB Endow.,17-Sep,11,1,,September,2017,2150-8097,,,,,,VLDB Endowment,;;;;
"article,2641615,Shilad  Sen and Toby Jia-Jun Li and WikiBrain  Team and Brent  Hecht,,,,WikiBrain: Democratizing Computation on Wikipedia,27:1--27:10,27,10,,10.1145/2641580.2641615,,,,,,,2014,,Proceedings of The International Symposium on Open Collaboration,OpenSym '14,,978-1-4503-3016-9,""Berlin, Germany"",ACM,""New York, NY, USA""";;;;
"article,3186975,Angela  Bonifati and Wim  Martens and Thomas  Timm,,,,DARQL: Deep Analysis of SPARQL Queries,187--190,,4,""conjunctive queries, query analysis, rdf, sparql"",10.1145/3184558.3186975,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
"article,3054726,Seyed-Mehdi-Reza  Beheshti and Alireza  Tabebordbar and Boualem  Benatallah and Reza  Nouri,,,,On Automating Basic Data Curation Tasks,165--169,,5,""big data analytics, curation api, data curation"",10.1145/3041021.3054726,,,,,,,2017,,Proceedings of the 26th International Conference on World Wide Web Companion,WWW '17 Companion,,978-1-4503-4914-7,""Perth, Australia"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
"article,3155909,Andreas  Spitz and Gloria  Feher and Michael  Gertz,,,,Extracting Descriptions of Location Relations from Implicit Textual Networks,1:1--1:9,1,9,""Implicit entity network, ranking, sentence extraction, toponym"",10.1145/3155902.3155909,,,,,,,2017,,Proceedings of the 11th Workshop on Geographic Information Retrieval,GIR'17,,978-1-4503-5338-0,""Heidelberg, Germany"",ACM,""New York, NY, USA""";;;;
"article,3106463,Chifumi  Nishioka and Ansgar  Scherp,,,,Keeping Linked Open Data Caches Up-to-date by Predicting the Life-time of RDF Triples,73--80,,8,,10.1145/3106426.3106463,,,,,,,2017,,Proceedings of the International Conference on Web Intelligence,WI '17,,978-1-4503-4951-2,""Leipzig, Germany"",ACM,""New York, NY, USA""";;;;
"article,3191603,Aidan  Hogan,,,,Profiling Graphs: Order from Chaos,1481--1482,,2,""graphs, profiling, schema"",10.1145/3184558.3191603,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
article,2883029,Felipe  Pezoa and Juan L. Reutter and Fernando  Suarez and Mart&#237;n  Ugarte and Domagoj  Vrgo&#269;",,,,Foundations of JSON Schema,263--273,,11,""JSON, JSON schema, JSON validation, expressiveness of schema languages"",10.1145/2872427.2883029,,,,,,,2016,,Proceedings of the 25th International Conference on World Wide Web,WWW '16,,978-1-4503-4143-1,""Montr&#233";al, Qu&#233;"bec, Canada"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland"""
article,3197058,Moritz  Schubotz and Andr&#233;"  Greiner-Petter and Philipp  Scharpf and Norman  Meuschke and Howard S. Cohl and Bela  Gipp,,,,Improving the Representation and Conversion of Mathematical Formulae by Considering Their Textual Context,233--242,,10,""computer algebra systems, dataset, goldstandard, mathml"",10.1145/3197026.3197058,,,,,,,2018,,Proceedings of the 18th ACM/IEEE on Joint Conference on Digital Libraries,JCDL '18,,978-1-4503-5178-2,""Fort Worth, Texas, USA"",ACM,""New York, NY, USA""";;;
